ID_Cliente,Recencia,Frequencia,Monetario,R_Score,F_Score,M_Score,RFM_Score,Segmento
1,17,71,19656.28,5,5,5,5.0,Champion
2,9,79,23046.15,5,5,5,5.0,Champion
3,45,92,23158.170000000002,5,5,5,5.0,Champion
4,50,98,28223.87,5,5,5,5.0,Champion
5,6,79,18489.47,5,5,5,5.0,Champion
6,5,95,24656.59,5,5,5,5.0,Champion
7,48,102,23399.32,5,5,5,5.0,Champion
8,21,90,18209.56,5,5,5,5.0,Champion
9,8,73,18281.94,5,5,5,5.0,Champion
10,74,80,22061.93,4,5,5,4.666666666666667,Champion
11,9,79,16318.4,5,5,5,5.0,Champion
12,114,80,18293.63,4,5,5,4.666666666666667,Champion
13,15,101,27200.5,5,5,5,5.0,Champion
14,40,95,20566.31,5,5,5,5.0,Champion
15,165,71,19894.86,4,5,5,4.666666666666667,Champion
16,34,91,21640.23,5,5,5,5.0,Champion
17,146,95,24802.32,4,5,5,4.666666666666667,Champion
18,45,91,19897.39,5,5,5,5.0,Champion
19,13,76,19034.28,5,5,5,5.0,Champion
20,25,101,22050.86,5,5,5,5.0,Champion
21,18,89,22547.74,5,5,5,5.0,Champion
22,29,81,18351.72,5,5,5,5.0,Champion
23,28,97,20137.02,5,5,5,5.0,Champion
24,8,91,21483.27,5,5,5,5.0,Champion
25,34,88,18984.83,5,5,5,5.0,Champion
26,23,76,17567.7,5,5,5,5.0,Champion
27,38,81,19511.68,5,5,5,5.0,Champion
28,14,84,25296.14,5,5,5,5.0,Champion
29,17,87,23931.25,5,5,5,5.0,Champion
30,109,81,17704.1,4,5,5,4.666666666666667,Champion
31,2,70,16436.06,5,5,5,5.0,Champion
32,1,86,20871.88,5,5,5,5.0,Champion
33,63,75,17708.04,4,5,5,4.666666666666667,Champion
34,151,96,26139.66,4,5,5,4.666666666666667,Champion
35,4,76,16455.63,5,5,5,5.0,Champion
36,2,80,22905.79,5,5,5,5.0,Champion
37,23,73,16383.789999999999,5,5,5,5.0,Champion
38,68,70,18126.59,4,5,5,4.666666666666667,Champion
39,206,81,19660.85,3,5,5,4.333333333333333,Loyal
40,24,73,18430.38,5,5,5,5.0,Champion
41,24,88,19807.31,5,5,5,5.0,Champion
42,12,81,21360.23,5,5,5,5.0,Champion
43,71,81,17288.92,4,5,5,4.666666666666667,Champion
44,119,64,14136.66,4,5,5,4.666666666666667,Champion
45,28,68,16060.31,5,5,5,5.0,Champion
46,93,81,16979.58,4,5,5,4.666666666666667,Champion
47,59,64,16727.13,4,5,5,4.666666666666667,Champion
48,65,82,22915.77,4,5,5,4.666666666666667,Champion
49,135,75,16016.67,4,5,5,4.666666666666667,Champion
50,21,65,12257.87,5,5,5,5.0,Champion
51,8,70,13668.02,5,5,5,5.0,Champion
52,47,70,19277.02,5,5,5,5.0,Champion
53,54,84,21623.899999999998,5,5,5,5.0,Champion
54,195,74,21666.5,4,5,5,4.666666666666667,Champion
55,112,71,18654.75,4,5,5,4.666666666666667,Champion
56,58,84,23491.98,4,5,5,4.666666666666667,Champion
57,7,75,16327.54,5,5,5,5.0,Champion
58,30,71,18217.07,5,5,5,5.0,Champion
59,143,65,15104.93,4,5,5,4.666666666666667,Champion
60,12,74,17591.4,5,5,5,5.0,Champion
61,14,67,16206.74,5,5,5,5.0,Champion
62,1,82,18940.8,5,5,5,5.0,Champion
63,7,74,15076.79,5,5,5,5.0,Champion
64,196,67,16728.86,4,5,5,4.666666666666667,Champion
65,42,66,15749.619999999999,5,5,5,5.0,Champion
66,16,76,16088.960000000001,5,5,5,5.0,Champion
67,282,66,16312.84,3,5,5,4.333333333333333,Loyal
68,28,67,14986.35,5,5,5,5.0,Champion
69,8,67,18942.35,5,5,5,5.0,Champion
70,9,61,14403.39,5,5,5,5.0,Champion
71,34,81,21027.93,5,5,5,5.0,Champion
72,22,69,18374.48,5,5,5,5.0,Champion
